id_str,created_at,period,full_text,text_bert,bert_word_count,label,label_roberta,confidence_roberta,annotator_notes,username,source_keyword,lang
1878293218682421598,2025-01-12 04:09:34,2025-01,"Faktor Kecemburuan Sosial, MUI Desak Pemerintah Hentikan Program Makan Bergizi Gratis https://t.co/L1YvaGEbL5","faktor kecemburuan sosial, majelis ulama indonesia desak pemerintah hentikan program makan bergizi gratis",13,negative,neutral,0.9814,,"imanrukka",makan_bergizi_gratis,in
1884840884472365543,2025-01-30 05:47:40,2025-01,"Kepala Seksi Intelijen, Akhmad Putra Dwi, S.H. dan jajaran Seksi Intelijen mengikuti pengarahan Jamintel Kejaksaan RI, Prof. Dr. Reda Manthovani yang dilaksanakan secara virtual terkait penyelenggaraan bantuan pemerintah untuk program Makan Bergizi Gratis. https://t.co/N4G0S8YtXg","kepala seksi intelijen, ahmad putra dwi, s. h. dan jajaran seksi intelijen mengikuti pengarahan jaksa agung muda bidang intelijen kejaksaan ri, prof. dr. reda manthovani yang dilaksanakan secara virtual terkait penyelenggaraan bantuan pemerintah untuk program makan bergizi gratis.",38,neutral,neutral,0.9926,,"KNBantaeng",makan_bergizi_gratis,in
1877665442158051822,2025-01-10 10:35:01,2025-01,dengan makan bergizi gratis generasi sehat siap menyongsong masa depan #Prabowo #MakanSiangGratis https://t.co/lv8JcuXdIM,dengan makan bergizi gratis generasi sehat siap menyongsong masa depan prabowo makan bergizi gratis senang im,16,positive,positive,0.9363,,"Gyabnera",makan_bergizi_gratis,in
1877198997703569809,2025-01-09 03:41:32,2025-01,"@Syahdan_hbb Anak-anak merasa bersemangat datang ke sekolah karena ada makan bergizi gratis kepada siswa setiap pagi.
Wujudkan Mimpi Kita",anak anak merasa bersemangat datang ke sekolah karena ada makan bergizi gratis kepada siswa setiap pagi. . wujudkan mimpi kita,20,positive,positive,0.9482,,"sayy_neng",makan_bergizi_gratis,in
188415209922483820,2025-01-28 08:10:40,2025-01,"Thankss sudah mencerahkan dan memberi perspektif baru ttg program pemerintah ini 😞☝🏼
MEMBELA MAKAN BERGIZI GRATIS https://t.co/Kk2KCLZiOQ lewat @YouTube",thankss sudah mencerahkan dan memberi perspektif baru tentang program pemerintah ini kecewa . membela makan bergizi gratis lewat,18,negative,negative,0.9847,,"arinyeager_",makan_bergizi_gratis,in
1883134747708477921,2025-01-25 12:48:05,2025-01,"Nanti setelah serangga, bisa jadi ulat, cacing, laron sebagai menu makan bergizi gratis. 

Idenya sungguh trewelu 🤣 https://t.co/BuRqgjtbuN","nanti setelah serangga, bisa jadi ulat, cacing, laron sebagai menu makan bergizi gratis. . . idenya sungguh trewelu tertawa",19,positive,positive,0.9827,,"narkosun",makan_bergizi_gratis,in
1877121900205273463,2025-01-08 22:35:10,2025-01,UMKM dan MBG sinergi penting wujudkan pangan berkualitas yang dapat diakses oleh semua kalangan #UMKMDukungMBG https://t.co/jd8MeUQuCI,usaha mikro kecil menengah dan makan bergizi gratis sinergi penting wujudkan pangan berkualitas yang dapat diakses oleh semua kalangan usaha mikro kecil menengah dukung makan bergizi gratis,27,positive,positive,0.7559,,";;;;;;;",mbg,in
1877229062067806485,2025-01-09 05:41:00,2025-01,"Berikut deretan fakta soal video viral di TikTok yang menunjukkan ratusan pelajar SD Sukabumi berjalan 300 meter demi makan bergizi gratis.

Via @detikjabar_ 

https://t.co/zd5ePPn3K5",berikut deretan fakta soal video viral di tiktok yang menunjukkan ratusan pelajar sd sukabumi berjalan 300 meter demi makan bergizi gratis. . . via . .,26,neutral,neutral,0.9666,,"detikcom",makan_bergizi_gratis,in
1877603782043005122,2025-01-10 06:30:00,2025-01,"Dengan adanya Makan Bergizi Gratis, pemerintah menegaskan tekadnya dalam mendukung kebutuhan gizi generasi emas.

Untuk Anak Kita","dengan adanya makan bergizi gratis, pemerintah menegaskan tekadnya dalam mendukung kebutuhan gizi generasi emas. . . untuk anak kita",19,positive,positive,0.8852,,"ficolosan",makan_bergizi_gratis,in
1877603781858226368,2025-01-10 06:30:00,2025-01,"Untuk Anak Kita

Update terus info Makan Bergizi Gratis nih pak presiden https://t.co/ANMnPtwL1z",untuk anak kita . . pembaruan terus info makan bergizi gratis nih bapak presiden,14,neutral,neutral,0.992,,"Banurasmi10",makan_bergizi_gratis,in
