id_str,created_at,period,full_text,word_count,username,user_id_str,favorite_count,retweet_count,reply_count,quote_count,lang,location,source_keyword,label,label_roberta,annotator_notes
1878293218682421598,2025-01-12 04:09:34,2025-01,"Faktor Kecemburuan Sosial, MUI Desak Pemerintah Hentikan Program Makan Bergizi Gratis https://t.co/L1YvaGEbL5",12,"imanrukka",977985588,0,0,0,0,in,,makan_bergizi_gratis,negative,,
1884840884472365543,2025-01-30 05:47:40,2025-01,"Kepala Seksi Intelijen, Akhmad Putra Dwi, S.H. dan jajaran Seksi Intelijen mengikuti pengarahan Jamintel Kejaksaan RI, Prof. Dr. Reda Manthovani yang dilaksanakan secara virtual terkait penyelenggaraan bantuan pemerintah untuk program Makan Bergizi Gratis. https://t.co/N4G0S8YtXg",34,"KNBantaeng",1373504219655720967,0,0,0,0,in,,makan_bergizi_gratis,neutral,,
1877665442158051822,2025-01-10 10:35:01,2025-01,dengan makan bergizi gratis generasi sehat siap menyongsong masa depan #Prabowo #MakanSiangGratis https://t.co/lv8JcuXdIM,13,"Gyabnera",1489630075293081600,0,0,0,0,in,,makan_bergizi_gratis,positive,,
1877198997703569809,2025-01-09 03:41:32,2025-01,"@Syahdan_hbb Anak-anak merasa bersemangat datang ke sekolah karena ada makan bergizi gratis kepada siswa setiap pagi.
Wujudkan Mimpi Kita",19,"sayy_neng",1548982202096295937,0,0,0,0,in,,makan_bergizi_gratis,positive,,
188415209922483820,2025-01-28 08:10:40,2025-01,"Thankss sudah mencerahkan dan memberi perspektif baru ttg program pemerintah ini 😞☝🏼
MEMBELA MAKAN BERGIZI GRATIS https://t.co/Kk2KCLZiOQ lewat @YouTube",19,"arinyeager_",1120806638728777728,0,0,0,0,in,,makan_bergizi_gratis,negative,,
1883134747708477921,2025-01-25 12:48:05,2025-01,"Nanti setelah serangga, bisa jadi ulat, cacing, laron sebagai menu makan bergizi gratis. 

Idenya sungguh trewelu 🤣 https://t.co/BuRqgjtbuN",18,"narkosun",84221579,22,2,16,1,in,,makan_bergizi_gratis,positive,,
1877121900205273463,2025-01-08 22:35:10,2025-01,UMKM dan MBG sinergi penting wujudkan pangan berkualitas yang dapat diakses oleh semua kalangan #UMKMDukungMBG https://t.co/jd8MeUQuCI,16,";;;;;;;",1681559148172021760,0,0,0,0,in,,mbg,positive,,
1877229062067806485,2025-01-09 05:41:00,2025-01,"Berikut deretan fakta soal video viral di TikTok yang menunjukkan ratusan pelajar SD Sukabumi berjalan 300 meter demi makan bergizi gratis.

Via @detikjabar_ 

https://t.co/zd5ePPn3K5",24,"detikcom",69183155,6,2,2,0,in,,makan_bergizi_gratis,neutral,,
1877603782043005122,2025-01-10 06:30:00,2025-01,"Dengan adanya Makan Bergizi Gratis, pemerintah menegaskan tekadnya dalam mendukung kebutuhan gizi generasi emas.

Untuk Anak Kita",17,"ficolosan",1665691760235016193,0,0,0,0,in,,makan_bergizi_gratis,positive,,
1877603781858226368,2025-01-10 06:30:00,2025-01,"Untuk Anak Kita

Update terus info Makan Bergizi Gratis nih pak presiden https://t.co/ANMnPtwL1z",13,"Banurasmi10",1479282059151433736,0,0,0,0,in,,makan_bergizi_gratis,neutral,,
1876494052352467195,2025-01-07 05:00:20,2025-01,"MBG menunya beda2 tiap daerah, tapi 1 yang sama: Nasi seabrek..

Kalau emang nasibya mau portugal, mbok ya tambah kecap...",20,"Martinus_Leo",340740739,0,0,2,0,in,,mbg,positive,,
1879411184904114324,2025-01-15 06:11:58,2025-01,"@lukmansaifuddin Program makan bergizi gratis juga memberdayakan masyarakat, terstruktur dan berjangka panjang",12,"SahabathtJ",884709186705039360,0,0,0,0,in,,makan_bergizi_gratis,positive,,
1882656630602625333,2025-01-24 05:08:13,2025-01,Program Makan Bergizi Gratis memberikan manfaat yang nyata dirasakan masyarakat kurang mampu. https://t.co/HZzH0QvZrg,13,"MoccaBottol",1582556285358129152,0,0,0,0,in,,makan_bergizi_gratis,positive,,
1881306972265611489,2025-01-20 11:45:09,2025-01,Apakah karena pengaruh dari berjalannya program MBG ? . Padahal berita tentang para pembantunya yang banyak dikritisi publik lumayan viral.,20,";;;;;;;",219548433,4,1,3,0,in,,mbg,negative,,
187760378301166398,2025-01-10 06:30:00,2025-01,"acara Makan Bergizi Gratis bertujuan untuk menyajikan masakan yang pastinya sehat dan bergizi kepada yang membutuhkan, terutama anak-anak sekolah

Untuk Anak Kita",22,"pi_putrip",1643464845449383937,0,0,0,0,in,,makan_bergizi_gratis,positive,,
1877603784706408769,2025-01-10 06:30:01,2025-01,Program Makan Bergizi Gratis juga berperan dalam memperkuat daya saing bangsa melalui pendidikan yang lebih baik. Untuk Anak Kita,19,"RatnaNurintan",1665983844842102784,0,0,0,0,in,,makan_bergizi_gratis,positive,,
1876198030044774624,2025-01-06 09:24:03,2025-01,"Pemerintah akhirnya melaunching program makan bergizi gratis mulai Senin ini, 6 Januari 2025.

Menteri Koperasi Budi Arie Setiadi mengungkap, beragam jenis koperasi akan terlibat, termasuk koperasi susu sapi, koperasi telur, koperasi sayur, dan koperasi lainnya.

Ada 190 lokasi https://t.co/Fs7W0bP1WL",39,"beritaKBR",124390203,1,0,0,0,in,,makan_bergizi_gratis,neutral,,
1877338175267549695,2025-01-09 12:54:34,2025-01,"🎥✨ ""Makan Bergizi, Ekonomi Bangkit!""
Program Makan Bergizi Gratis bukan cuma soal kesehatan, tapi juga dorongan besar untuk ekonomi lokal 🍚🌾. Bareng-bareng kita bangun Indonesia yang lebih kuat 💪🇮🇩!

#PemerataanEkonomi 
#MakanBergiziGratis
#KetahananPangan
#CegahStunting https://t.co/eac2bPDRiS",34,"dicky_novera",792168380,32,6,53,0,in,,makan_bergizi_gratis,positive,,
1880888552139186436,2025-01-19 08:02:30,2025-01,Saatnya kita bantu wujudkan Indonesia yang lebih sehat melalui program Makan Bergizi Gratis! Ayo dukung bersama! #PenuhiGiziIndonesia https://t.co/21SXJe0FHT,18,"wajah_baruitu",1562846317419737090,0,0,1,0,in,,makan_bergizi_gratis,positive,,
1877641628267241948,2025-01-10 09:00:23,2025-01,"@CuitanMakmak guys wajib tau,rancangan Makan Bergizi Gratis Berikan Dampak Jelas Bagi Gizi seimbang anak Bangsa 
Untuk Anak Kita",18,"adrianalmaaa",1546392410754019328,0,0,0,0,in,,makan_bergizi_gratis,positive,,
1877654765129081006,2025-01-10 09:52:35,2025-01,"@Gribyzz Mudah-mudahan Makan Bergizi Gratis memberikan dampak positif bagi generasi mendatang
Untuk Anak Kita",14,"SitiRah_ayyu",1715459938426945536,1,0,0,0,in,,makan_bergizi_gratis,positive,,
