id_str,label,period_label,text_bert,pre_label,confidence,conversation_id_str,created_at,favorite_count,full_text,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,source_keyword
1876079950631174330,neutral,Bulan_1,program unggulan pemerintahan prabowo subianto gibran rakabuming raka makan bergizi gratis makan bergizi gratis resmi di luncurkan hari ini program yang bertujuan memenuhi kebutuhan gizi anak anak indonesia ini di mulai di 190 titik di 26 provinsi,neutral,0.9803,1876079950631174330,2025-01-06T01:34:50.000Z,0,"Program unggulan pemerintahan Prabowo Subianto-Gibran Rakabuming Raka, Makan Bergizi Gratis (MBG), resmi di luncurkan hari ini! Program yang bertujuan memenuhi kebutuhan gizi anak-anak Indonesia ini di mulai di 190 titik di 26 provinsi.
https://t.co/FaAn3Qkm41",,,in,,0,0,0,https://x.com/digitripx_media/status/1876079950631174330,1748273723432730624,digitripx_media,mbg
1876082320169713871,neutral,Bulan_1,sedang berlangsung wawancara dialog dengan topik pelaksanaan program makan bergizi gratis secara serentak dengan netty prasetiyani aher anggota komisi ix dpr bersama zaini selengkapnya dengarkan di 88 8 fm sampai rri digital,neutral,0.9989,1876082320169713871,2025-01-06T01:44:15.000Z,0,"#live 

Sedang berlangsung Wawancara dialog dengan topik Pelaksanaan program mbg secara serentak dengan  Netty Prasetiyani Aher-anggota komisi IX DPR bersama zaini    

Selengkapnya Dengarkan di 88,8FM&amp; RRI Digital. 
  #IMP #PRO3RR https://t.co/DnjnjarXil",https://pbs.twimg.com/media/Ggku7HIa4AAtFBR.jpg,,in,,0,0,0,https://x.com/RRIPrograma3/status/1876082320169713871,1129936609,RRIPrograma3,mbg
1876082352214155659,neutral,Bulan_1,besok program makan bergizi gratis wilayah kaltara perdana digelar di nunukan sasar 2 556 siswa via,neutral,0.9986,1876082352214155659,2025-01-06T01:44:23.000Z,0,"Besok Program Makan Bergizi Gratis Wilayah Kaltara Perdana Digelar di Nunukan, Sasar 2.556 Siswa
 
#MakanBergiziGratis #MBG #BadanGiziNasional #BGN #NunukanSelatan #Nunukan #KalimantanUtara #Kaltara 

https://t.co/wfLgPJBcME via @tribunnews",,,in,,0,0,0,https://x.com/KaltaraTribun/status/1876082352214155659,1689503322070470656,KaltaraTribun,mbg
1876082405381161005,positive,Bulan_1,selamat bapak prabowo sudah bisa terlaksana program makan bergizi gratis hari ini semoga sukses dan terima kasih sudah gerak cepat untuk instansi2 terkait salut terima kasih juga mas gibran yang sudah membantu presiden mengawal uji coba2 jadi bisa program terlaksana tidak pakai lama bagus bagus,positive,0.9956,1876082405381161005,2025-01-06T01:44:36.000Z,0,"Selamat pak @prabowo , sdh bisa terlaksana program MBG hari ini.
Semoga sukses, dan terima kasih sudah gercep utk instansi2 terkait. Salut!
Makasih juga mas @gibran_tweet yg sdh membantu presiden mengawal uji coba2 jadi bisa program terlaksana gak pake lama 👍👍",,,in,,0,0,0,https://x.com/SaritaTambayong/status/1876082405381161005,1360955556173737987,SaritaTambayong,mbg
1876099859683709064,neutral,Bulan_1,badan gizi nasional badan gizi nasional resmi memulai program makan bergizi gratis makan bergizi gratis per hari ini senin 6 per 1,neutral,0.9967,1876099859683709064,2025-01-06T02:53:57.000Z,0,"Badan Gizi Nasional (BGN) resmi memulai Program Makan Bergizi Gratis (MBG) per hari ini, Senin (6/1).

https://t.co/MgOQSlzI3b",,,in,,0,0,0,https://x.com/ANTARAJatim_/status/1876099859683709064,1557190679553769473,ANTARAJatim_,mbg
1876110989499761143,neutral,Bulan_1,program makan bergizi gratis belum dijalankan lanud adisutjipto hari ini ini alasannya,negative,0.8444,1876110989499761143,2025-01-06T03:38:11.000Z,0,"Program MBG Belum Dijalankan Lanud Adisutjipto Hari Ini, Ini Alasannya https://t.co/cz0xQtScIR https://t.co/Y3sEAD16m2",https://pbs.twimg.com/media/GglJAJKXEAAYg3N.jpg,,in,,0,0,0,https://x.com/Harian_Jogja/status/1876110989499761143,118371948,Harian_Jogja,mbg
1876154964051173470,neutral,Bulan_1,program makan bergizi gratis makan bergizi gratis siap dimulai di 190 titik yang tersebar di 26 provinsi di indonesia pada senin 6 per 1 per 2025,neutral,0.9875,1876154962021167556,2025-01-06T06:32:55.000Z,0,Program Makan Bergizi Gratis (MBG) siap dimulai di 190 titik yang tersebar di 26 provinsi di Indonesia pada Senin (6/1/2025).,,SitiSumiran,in,,0,1,0,https://x.com/SitiSumiran/status/1876154964051173470,3706597332,SitiSumiran,mbg
1876175375203738037,neutral,Bulan_1,darurat menteri koperasi budi arie setiadi meminta publik tidak berkecil hati soal tidak adanya susu dalam menu perdana program makan bergizi gratis ketika ditanya mengenai ketiadaan susu pada menu makan bergizi gratis makan bergizi gratis di dapur halim budi menjelaskan bahwa saat ini susu belum,neutral,0.9938,1876175375203738037,2025-01-06T07:54:01.000Z,2,"🚨🗣Menteri Koperasi Budi Arie Setiadi meminta publik tidak berkecil hati soal tak adanya susu dalam menu perdana program makan bergizi gratis.

Ketika ditanya mengenai ketiadaan susu pada menu Makan Bergizi Gratis (MBG) di Dapur Halim, Budi menjelaskan bahwa saat ini susu belum https://t.co/3AL1h9sOXo",https://pbs.twimg.com/ext_tw_video_thumb/1876175289547632642/pu/img/l74InnuNBU5v3LAk.jpg,,in,,1,4,1,https://x.com/inilahdotcom/status/1876175375203738037,46693036,inilahdotcom,mbg
1876198030044774624,neutral,Bulan_1,pemerintah akhirnya melaunching program makan bergizi gratis mulai senin ini 6 januari 2025 menteri koperasi budi arie setiadi mengungkap beragam jenis koperasi akan terlibat termasuk koperasi susu sapi koperasi telur koperasi sayur dan koperasi lainnya ada 190 lokasi,neutral,0.9981,1876198030044774624,2025-01-06T09:24:03.000Z,1,"Pemerintah akhirnya melaunching program makan bergizi gratis mulai Senin ini, 6 Januari 2025.

Menteri Koperasi Budi Arie Setiadi mengungkap, beragam jenis koperasi akan terlibat, termasuk koperasi susu sapi, koperasi telur, koperasi sayur, dan koperasi lainnya.

Ada 190 lokasi https://t.co/Fs7W0bP1WL",https://pbs.twimg.com/ext_tw_video_thumb/1876197850071343104/pu/img/JVUdaQ7ymoQdenrJ.jpg,,in,,0,0,0,https://x.com/beritaKBR/status/1876198030044774624,124390203,beritaKBR,makan_bergizi_gratis
1876216157335883849,neutral,Bulan_1,kabupaten garut mulai gulirkan program makan bergizi gratis smpn 6 garut jadi lokasi launching makan bergizi gratis,neutral,0.9975,1876216157335883849,2025-01-06T10:36:04.000Z,0,"Kabupaten Garut Mulai Gulirkan Program Makan Bergizi Gratis, SMPN 6 Garut Jadi Lokasi Launching MBG https://t.co/L0ZbTbCuEy",,,in,,0,0,0,https://x.com/PRGarut/status/1876216157335883849,1657689267764879365,PRGarut,mbg
1876236820490695002,neutral,Bulan_1,jogya juga termasuk 26 propinsi yang sudah mengadakan makan bergizi gratis ii,neutral,0.9935,1876230117703434388,2025-01-06T11:58:11.000Z,2,"@Jatmiko06613045 Jogya jg termasuk 26 propinsi yg sdh mengadakan MBG...ii...👇👇
https://t.co/f1QxvdiwAj",,Jatmiko06613045,in,,0,0,0,https://x.com/mbienyambay2/status/1876236820490695002,1299302763784843265,mbienyambay2,mbg
1876274296504627385,positive,Bulan_1,menarik bisa jadi menu makan bergizi gratis buat anak sekolah,positive,0.9463,1876146534796161322,2025-01-06T14:27:06.000Z,0,"@PartaiSocmed menarik, bisa jadi menu mbg buat anak sekolah",,PartaiSocmed,in,,0,0,0,https://x.com/dilarang_baper/status/1876274296504627385,1521905955415289856,dilarang_baper,mbg
1876314121832210697,positive,Bulan_1,hemat woy slogan hemat ala prabowo untuk mencapai tujuan makan bergizi gratis yang sesuai harapan,positive,0.9617,1876059966488076610,2025-01-06T17:05:21.000Z,0,"@Heraloebss Hemat woy, slogan hemat ala Prabowo. Untuk mencapai tujuan MBG yg sesuai harapan",,Heraloebss,in,,0,0,0,https://x.com/mr_hardi4/status/1876314121832210697,1497068669725143040,mr_hardi4,mbg
1876320660462702637,negative,Bulan_1,sampai masy lupa ada program makan bergizi gratis,neutral,0.9592,1876315492182630751,2025-01-06T17:31:20.000Z,0,@katsubossy Sampe masy. lupa ada program mbg,,katsubossy,in,,0,0,0,https://x.com/gairahpurba/status/1876320660462702637,1117672618398605312,gairahpurba,mbg
1876366491320533314,positive,Bulan_1,saya pribadi bangga sih ada program makan bergizi gratis makan bergizi gratis karena saya tau anak-anak di luar sana tidak seberuntung kalian kaum menengah mereka sering makan mie instan lho sedikit cerita ada temenku dulu waktu sama kena radang usus meninggal karena sering makan mie instan,positive,0.9367,1876366491320533314,2025-01-06T20:33:27.000Z,3,"Gw pribadi bangga sih ada program MBG (Makan Bergizi Gratis) krn gw tau anak2 di luar sana gk seberuntung kalian (kaum menengah), mereka sering makan mie instan lho

Sedikit cerita: ada temenku dulu (waktu SMA) kena radang usus (meninggal) krn sering makan mie instan

#BanggaMBG",,,in,,0,0,0,https://x.com/hardi_omesh/status/1876366491320533314,1462597570505502721,hardi_omesh,mbg
1876456764184613167,positive,Bulan_1,eddy soeparno program makan bergizi gratis tonggak membangun sdm indonesia unggul,neutral,0.9907,1876456764184613167,2025-01-07T02:32:10.000Z,1,"Eddy Soeparno: Program Makan Bergizi Gratis Tonggak Membangun SDM Indonesia Unggul

#MPRRI
#MPRRumahKebangsaan
#EmpatPilarMPRRI

https://t.co/okUVsu2IPC",,,in,,0,6,0,https://x.com/mprgoid/status/1876456764184613167,1266013471,mprgoid,makan_bergizi_gratis
