id_str,created_at,period,period_label,full_text,word_count,username,user_id_str,favorite_count,retweet_count,reply_count,quote_count,lang,location,source_keyword,label,label_roberta,annotator_notes
1876072984299143507,2025-01-06 01:07:09+00:00,2025-01,Bulan_1,"@HisyamMochtar Menurut saya untuk NU, Muhammadiyah, atau organisasi keagamaan yg memiliki jaringan sekolah, akan lebih baik dilibatkan langsung di MBG. Hal ini malah dapat meminimalisir kebocoran anggaran, daripada melibatkan pihak lain.",31,indragoenawan,22905571,1,0,0,0,in,,mbg,neutral,,
1876079950631174330,2025-01-06 01:34:50+00:00,2025-01,Bulan_1,"Program unggulan pemerintahan Prabowo Subianto-Gibran Rakabuming Raka, Makan Bergizi Gratis (MBG), resmi di luncurkan hari ini! Program yang bertujuan memenuhi kebutuhan gizi anak-anak Indonesia ini di mulai di 190 titik di 26 provinsi.
https://t.co/FaAn3Qkm41",34,digitripx_media,1748273723432730624,0,0,0,0,in,,mbg,neutral,,
1876080436663005231,2025-01-06 01:36:46+00:00,2025-01,Bulan_1,"Bakal Segera Berjalan Dua Program Pemerintahan, Yakni Program MBG dan Penghapusan Utang Macet UMKM https://t.co/85qWxYzqBf lewat @Keuangan News",18,keuangannews_id,1226436091617505281,2,1,0,0,in,,mbg,neutral,,
1876082320169713871,2025-01-06 01:44:15+00:00,2025-01,Bulan_1,"#live 

Sedang berlangsung Wawancara dialog dengan topik Pelaksanaan program mbg secara serentak dengan  Netty Prasetiyani Aher-anggota komisi IX DPR bersama zaini    

Selengkapnya Dengarkan di 88,8FM&amp; RRI Digital. 
  #IMP #PRO3RR https://t.co/DnjnjarXil",30,RRIPrograma3,1129936609,0,0,0,0,in,,mbg,neutral,,
1876082352214155659,2025-01-06 01:44:23+00:00,2025-01,Bulan_1,"Besok Program Makan Bergizi Gratis Wilayah Kaltara Perdana Digelar di Nunukan, Sasar 2.556 Siswa
 
#MakanBergiziGratis #MBG #BadanGiziNasional #BGN #NunukanSelatan #Nunukan #KalimantanUtara #Kaltara 

https://t.co/wfLgPJBcME via @tribunnews",25,KaltaraTribun,1689503322070470656,0,0,0,0,in,,mbg,neutral,,
1876082405381161005,2025-01-06 01:44:36+00:00,2025-01,Bulan_1,"Selamat pak @prabowo , sdh bisa terlaksana program MBG hari ini.
Semoga sukses, dan terima kasih sudah gercep utk instansi2 terkait. Salut!
Makasih juga mas @gibran_tweet yg sdh membantu presiden mengawal uji coba2 jadi bisa program terlaksana gak pake lama 👍👍",41,SaritaTambayong,1360955556173737987,0,0,0,0,in,,mbg,positive,,
1876092620478537974,2025-01-06 02:25:11+00:00,2025-01,Bulan_1,"Kalau semua standar begini oke sih program MBG, tapi apakah sudah tersedia merata di seluruh Indonesia ? Dan yang penting konsisten..
https://t.co/7OFCk4sgoA",22,yunanpadmo,22210433,0,0,0,0,in,,mbg,neutral,,
1876095884754305039,2025-01-06 02:38:09+00:00,2025-01,Bulan_1,"Badan Gizi Nasional (BGN) resmi memulai Program Makan Bergizi Gratis (MBG) per hari ini, Senin (6/1/2025).

https://t.co/5OqiQ2Nz1V",17,heralddotID,1698580133068865536,0,0,0,0,in,,mbg,neutral,,
1876098436677968336,2025-01-06 02:48:18+00:00,2025-01,Bulan_1,Program Makan Bergizi Gratis (MBG) yang merupakan program prioritas pemerintahan Presiden Prabowo Subianto dan Wakil Presiden Gibran Rakabuming Raka siap dimulai di 190 titik yang tersebar di 26 provinsi.https://t.co/fufY1xTtRi,29,ANTARABengkulu,423220305,0,0,0,0,in,,mbg,neutral,,
1876099859683709064,2025-01-06 02:53:57+00:00,2025-01,Bulan_1,"Badan Gizi Nasional (BGN) resmi memulai Program Makan Bergizi Gratis (MBG) per hari ini, Senin (6/1).

https://t.co/MgOQSlzI3b",17,ANTARAJatim_,1557190679553769473,0,0,0,0,in,,mbg,neutral,,
1876101397143294241,2025-01-06 03:00:04+00:00,2025-01,Bulan_1,"Kepala Biro Hukum dan Humas Badan Gizi Nasional (BGN), Lalu Muhammad Iwan Mahardan mengatakan bahwa program Makan Bergizi Gratis (MBG) bakal dimulai Senin 6 Januari 2025.

Menurut Lalu, ada 190 titik Satuan Pelayanan Pemenuhan Gizi (SPPG) atau dapur yang siap beroperasi.

Lalu https://t.co/H6tGZmUwLN",43,VIVAcoid,41730943,2,0,0,0,in,,mbg,neutral,,
1876102808883372118,2025-01-06 03:05:40+00:00,2025-01,Bulan_1,"Badan Gizi Nasional (BGN) resmi memulai Program Makan Bergizi Gratis (MBG) per hari ini, Senin (6/1).

Kepala Biro Hukum dan Hubungan Masyarakat (Humas) BGN RI Lalu Muhammad Iwan Mahardan saat dikonfirmasi di Jakarta, Senin, menyampaikan bahwa prioritas pertama pemberian Makan",40,Gerindra,397673651,3,0,7,0,in,,mbg,neutral,,
1876110472522706988,2025-01-06 03:36:07+00:00,2025-01,Bulan_1,"Satuan Pemenuhan Pelayanan Gizi (SPPG) Halim Perdanakusuma yang resmi meluncurkan Program Makan Bergizi Gratis (MBG). Yup, mulai sekarang siswa sekolah bisa menikmati menu-menu lezat dan bergizi.

https://t.co/gPWmtN0oHD",27,nawabinekanews,1762043186598604800,0,0,0,0,in,,mbg,neutral,,
1876110989499761143,2025-01-06 03:38:11+00:00,2025-01,Bulan_1,"Program MBG Belum Dijalankan Lanud Adisutjipto Hari Ini, Ini Alasannya https://t.co/cz0xQtScIR https://t.co/Y3sEAD16m2",12,Harian_Jogja,118371948,0,0,0,0,in,,mbg,neutral,,
1876113987924070444,2025-01-06 03:50:05+00:00,2025-01,Bulan_1,@barengwarga ada usulan MBG menggunakan APBD sebagai dana dukungan. 🗿,10,shiki_cum,1826283786960781312,0,1,0,0,in,,mbg,negative,,
1876117515568566452,2025-01-06 04:04:06+00:00,2025-01,Bulan_1,Program Makan Bergizi Gratis (MBG) pemerintahan Prabowo-Gibran resmi dimulai hari ini. Gimana review makan bergizi gratis hari ini? Komen dibawah yaa https://t.co/jPy8XqnF9r,22,kedaikopisurvei,1248221892999147521,1,0,1,0,in,,mbg,neutral,,
1876117876358390094,2025-01-06 04:05:32+00:00,2025-01,Bulan_1,MBG di SDN Rawa Kompeni Tangerang Pakai Menu di Pesawat https://t.co/WVxtkIG2CQ,11,IDNTimesBanten,1318833612821725184,0,0,0,0,in,,mbg,neutral,,
