id_str,conversation_id_str,created_at,period,full_text,word_count,username,user_id_str,favorite_count,retweet_count,reply_count,quote_count,lang,location,source_keyword,label,label_roberta,annotator_notes
1876086460031611206,1876086460031611206,2025-01-06 02:00:42,period_1,"Makan Bergizi Gratis (MBG) mulai diselenggarakan hari ini. Tim Jurnalisme Data Kompas merekomendasikan prioritas penerima MBG agar lebih tepat sasaran. Tanpa prioritastepat, hanya 12 persen warga miskin di Indonesia yang menerima program ini.

https://t.co/la1O4N89I3 https://t.co/naTyg2HKz9",35,"albertus_krisna",260182010,0,0,0,1,in,,mbg,,,
1876086582341718029,1876086582341718029,2025-01-06 02:01:11,period_1,"Komisi 1 DPRD Kota Blitar Minta Pengusaha Katering Tolak Tawaran Kerja Sama MBG, Ini Alasannya  https://t.co/LVICEvgov5",16,"radarblitar",2615374939,0,0,0,0,in,,mbg,,,
1876090695590756567,1876090695590756567,2025-01-06 02:17:32,period_1,"Badan Gizi Nasional (BGN) resmi akan memulai Program Makan Bergizi Gratis (MBG) per hari ini, tepatnya Senin (6/1/2024).
#MakanBergiziBangunNegeri #mbg

https://t.co/A8YE3BRPgB",21,"indozonemedia",350668803,0,0,0,0,in,,mbg,,,
1876095876445462681,1876090706193993830,2025-01-06 02:38:07,period_1,"Yang pemerintah lakukan hari ini:

1. Biaya per porsi tidak layak.
2. uji coba di tanggerang tidak relevan.
3. ketiga skema yg dihadirkan problematik.
4. Membebankan keuangan untuk impor 1 juta sapi perah untuk kebutuhan susu di program MBG. https://t.co/T35WEA5dw9",40,"barengwarga",1850558971779956736,55,16,2,0,in,,mbg,,,
1876116047079915718,1876116047079915718,2025-01-06 03:58:16,period_1,"🔴 UTAS 

Program Makan Bergizi Gratis atau MBG hari ini mulai dilaksanakan. Simak liputan Tim #JurnalismeData ""Mengulas Program Makan Bergizi Gratis di Indonesia"" di harian Kompas (https://t.co/Z6bhYbEJRg) dengan mengakses tautan berikut. 

🔗 https://t.co/Zy2NXpBZ1O https://t.co/4XkH5SHSSV",34,"hariankompas",255866913,4,1,2,0,in,,mbg,,,
1876125387253776871,1876090706193993830,2025-01-06 04:35:23,period_1,"Kunjungan kerja prabowo ke luar negeri bahas MBG:

1. Menjadi ancaman beban fiskal baru
2. Ancaman produk impor https://t.co/x3WblDqDCJ",19,"barengwarga",1850558971779956736,21,11,1,0,in,,mbg,,,
1876127391837565108,1876127391837565108,2025-01-06 04:43:21,period_1,"Halo X bagaimana program MBG perdana hari ini, apakah sesuai dgn PPN 12%..??
🤭🤭🤭",14,"HalomoanHa91790",1766477518784380928,0,0,0,0,in,,mbg,,,
1876130098870628679,1876114212554265053,2025-01-06 04:54:07,period_1,"@geloraco Niat baik,
Tanpa ide pembanding,
Perencanaan busuk,
Percontohan abal"",
Jadi rebutan bancakan berbagai organisasi.

TUNDA MBG.
KOMPETISIKAN DGN IDE PEMBANDING.
RENCANAKAN SECARA MATANG.
BUAT SOP.
TETAPKAN PELAKSANA.
UJI LAKSANA YG MEMADAI.

JANJI KAMPANYE TIDAK HARUS DIPENUHI PD",38,"HarryPattyRM00",1864781185165201408,0,0,0,0,in,,mbg,,,
1876147730088927369,1876147715421401252,2025-01-06 06:04:10,period_1,Hasan menjelaskan program MBG ditargetkan menyentuh 3 juta penerima manfaat mulai Januari hingga Maret 2025. #makanbergizigratis,16,"lehon_mangolu",803146663497867264,0,0,1,0,in,,mbg,,,
1876155006589743424,1876154962021167556,2025-01-06 06:33:05,period_1,"Program MBG, yang didukung oleh alokasi anggaran sebesar Rp71 triliun dari APBN 2025, menjadi program pertama dalam Program Hasil Terbaik Cepat (PHTC) di bawah kepemimpinan Presiden Prabowo Subianto dan Wakil Presiden Gibran Rakabuming Raka.",34,"SitiSumiran",3706597332,0,0,0,0,in,,mbg,,,
1876192749722153365,1876117738906878175,2025-01-06 09:03:04,period_1,@dyalova_ Demi allah ga jelas banget. Mana lagi diomongin jg nud dana makan bergizi gratis 71T Pertahun. Pas dihitung ternyata setahun itu cuma keluar 10T lalu 60T nya dikemanain? Njir trilliun itu gilaa bukan ratusan rebu. Kemanain,37,"candypurple18",446053875,0,0,1,0,in,,makan_bergizi_gratis,,,
1876193196314943839,1876193196314943839,2025-01-06 09:04:50,period_1,"Alasan Belum Semua Sekolah Dapat Makan Bergizi Gratis Hari Ini, Begini Penjelasan Istana

#TribunKaltim #MakanBergiziGratis #Prabowo
 
https://t.co/ilLecqC2rl lewat @tribunnews",19,"tribunkaltim",103551225,0,0,0,0,in,,makan_bergizi_gratis,,,
1876202621889044667,1876124617682866272,2025-01-06 09:42:17,period_1,"@PaltiWest2024 Masih mending , di Medan belum muncul tuh MBG, mungkin taon depan, atau bergilie sebulan sekali makannya...",18,"Nakranksumpu",1598283687333744642,0,0,0,0,in,,mbg,,,
1876228468880351522,1876228468880351522,2025-01-06 11:25:00,period_1,"Mendikdasmen Abdul Mu'ti pantau pelaksanaan program Makan Bergizi Gratis di Semarang. Ia tekankan program ini tak hanya pada pemenuhan gizi, tapi juga pembentukan karakter siswa.

Via @detik_edu  https://t.co/v29zrlimPR",28,"detikcom",69183155,1,0,0,0,in,,makan_bergizi_gratis,,,
1876228621830090904,1876228621830090904,2025-01-06 11:25:36,period_1,"Program Makan Bergizi Gratis (MBG) tidak menerapkan menu makanan baku yang seragam. Meskipun anggaran per porsi anak tetap sama, menu disesuaikan dengan kekuatan UMKM setempat dan selera anak-anak. 

#MakanBergiziGratis #MBGA https://t.co/I0nkBbyyck",31,"Faktacom_",1308656035201130497,1,0,0,0,in,,makan_bergizi_gratis,,,
1876230181339451701,1876230181339451701,2025-01-06 11:31:48,period_1,"Serba-serbi Program Makan Bergizi Gratis: Tidak Ada Susu, Menu Diubah Tiap 20 Hari Sekali
 
https://t.co/1oYK2xAJsX lewat @tribunnews #makanbergizigratis #prabowo #susu",20,"tribunkaltim",103551225,0,0,0,0,in,,makan_bergizi_gratis,,,
1876231081663574112,1876231081663574112,2025-01-06 11:35:23,period_1,"Kepala Kantor Komunikasi Kepresidenan, Hasan Nasbi, menjelaskan bahwa program Makan Bergizi Gratis (MBG) di Kendari, Sulawesi Tenggara, masih menggunakan sisa anggaran uji coba sebelum Presiden Prabowo Subianto menjabat. Kendari belum mengakses dana Rp 71 triliun yang telah https://t.co/tn8ealpm5t",38,"garudatvnews",502140136,0,0,1,0,in,,mbg,,,
1876238437281608041,1876238437281608041,2025-01-06 12:04:36,period_1,"“Belum ada simulasinya. Yuni bawa bekal sendiri.” Jawaban Ni Luh Putu Sariani (44) mengawali perbincangan IDN Times terkait simulasi program makan bergizi gratis (MBG) 2024 lalu.

[THREAD]

#IDNTimesHyperLocal #IDNTimesBali https://t.co/Yg41cGmhGm",30,"IDNTimesBali",1318832462366081025,4,2,1,0,in,,mbg,,,
1876242458021179539,1876242458021179539,2025-01-06 12:20:35,period_1,seliweran banget ini mbg haha,5,"doyouwaik",1131605425328025600,0,0,0,0,in,,mbg,,,
1876265875541741802,1876265829576385015,2025-01-06 13:53:38,period_1,"Program Makan Bergizi Gratis (MBG) resmi dimulai hari ini, Senin, 6 Januari 2025, pada 190 Satuan Pelayanan Pemenuhan Gizi (SPPG) yang tersebar di 26 provinsi di Indonesia.

https://t.co/FL513L149L",28,"inilahdotcom",46693036,1,1,0,0,in,,makan_bergizi_gratis,,,
1876268524928413781,1876268524928413781,2025-01-06 14:04:10,period_1,"mohon di evaluasi buat anak jangan coba2
Gibran tolak makan bergizi gratis",12,"Aa363738",1086555366807068672,0,0,0,0,in,,makan_bergizi_gratis,,,
1876269945463672886,1876269945463672886,2025-01-06 14:09:49,period_1,"Hari Bersejarah untuk Generasi Emas Indonesia!

Pada hari ini, Senin, 6 Januari 2025, menjadi momen bersejarah. Anak-anak Generasi Emas Indonesia mulai mendapatkan asupan makanan penuh nutrisi melalui Program Makan Bergizi Gratis (MBG) yang resmi dimulai secara bertahap.
#Prabowo https://t.co/7iappgaeQQ",39,"gerindrakotasmg",1610207637513318404,1,1,0,0,in,,mbg,,,
1876276355035505016,1876199482658013480,2025-01-06 14:35:17,period_1,@kompascom Kok bisa? Apakah itu bukti bhw MBG adalah program grusah-grusuh?,11,"AdlawiSamsudin",1963701427,0,0,0,0,in,,mbg,,,
1876316039350546744,1876316039350546744,2025-01-06 17:12:58,period_1,@Jateng_Twit info MBG Jateng,4,"bobidream",189147824,0,0,0,0,in,,mbg,,,
187631864246974080,1876318642469740800,2025-01-06 17:23:19,period_1,Trending susunya tu maksudnya di program MBG kan? Kok yg keluar akun2 cabul 😭😭😭,14,"AsihcantikBu",1861646034251948032,0,0,0,0,in,,mbg,,,
1876369316779892893,1876369316779892893,2025-01-06 20:44:41,period_1,"MBG menunya memang belum wah banget, tapi aku bersyukur program ini ada.. karena selain untuk memenuhi nutrisi harian pelajar, program ini ditunggu ibu2 untuk hemat uang dapur mereka.. 🤓🫰

#BanggaMBG #MakanBergiziGratis",31,"hardi_omesh",1462597570505502721,1,0,0,0,in,,mbg,,,
187637604252645416,1876376042526454160,2025-01-06 21:11:24,period_1,"Terkendala Dapur Umum, Makan Bergizi Gratis di Sumbar Diundur https://t.co/15oQJFPzKW",10,"DreeBandzz",470629706,0,0,0,0,in,,makan_bergizi_gratis,,,
